subscription_id,customer_id,product_category,deposit_product_id,product_name,subscription_date,maturity_date,months,amount,interest_rate,status,channel
S00004023,C001323,예금,DEP001,KB국민은행 KB star 정기예금,2020-11-28,2021-11-23,12,100000000,3.5,만기,영업점
S00008206,C002847,적금,SAV004,KB국민은행 KB 내맘대로 적금,2020-11-28,2021-11-23,12,8965092,3.5,연장,모바일
S00005216,C001744,예금,DEP003,NH농협은행 NH올원 e예금,2020-11-28,2021-05-27,6,100000000,3.3,만기,인터넷
S00003404,C001114,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-11-29,2030-11-27,0,3447133,0.1,유지,모바일
S00001057,C000370,예금,DEP002,신한은행 쏠편한 정기예금,2020-11-29,2021-11-24,12,100000000,3.2,연장,인터넷
S00000177,C000061,예금,DEP003,NH농협은행 NH올원 e예금,2020-11-29,2021-05-28,6,100000000,3.3,해지,인터넷
S00000140,C000050,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-11-29,2030-11-27,0,3886063,0.1,유지,모바일
S00005247,C001754,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-01,2030-11-29,0,3055912,0.1,유지,모바일
S00000397,C000136,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-01,2021-11-26,12,5142396,4.0,연장,영업점
S00008348,C002899,적금,SAV004,KB국민은행 KB 내맘대로 적금,2020-12-01,2021-11-26,12,9842844,3.5,만기,모바일
S00004334,C001427,예금,DEP006,하나은행 3·6·9 정기예금,2020-12-01,2021-05-30,6,100000000,3.6,만기,영업점
S00000500,C000172,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-02,2022-11-22,24,21273432,4.2,연장,인터넷
S00006874,C002343,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-02,2030-11-30,0,1009360,0.1,유지,모바일
S00006135,C002089,적금,SAV004,KB국민은행 KB 내맘대로 적금,2020-12-02,2021-11-27,12,8017716,3.5,연장,모바일
S00006911,C002358,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-03,2022-11-23,24,5073528,5.0,만기,영업점
S00004264,C001404,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-03,2021-11-28,12,9426408,4.0,연장,영업점
S00004993,C001663,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-03,2030-12-01,0,4041336,0.1,유지,모바일
S00005520,C001863,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-03,2030-12-01,0,4266185,0.1,유지,모바일
S00006090,C002073,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-03,2021-11-28,12,100000000,3.1,만기,영업점
S00001534,C000529,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-03,2030-12-01,0,4467990,0.1,유지,모바일
S00005132,C001713,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-03,2021-11-28,12,10079244,4.0,연장,영업점
S00004622,C001529,예금,DEP002,신한은행 쏠편한 정기예금,2020-12-04,2021-11-29,12,100000000,3.2,만기,인터넷
S00005023,C001672,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-04,2021-11-29,12,100000000,3.5,만기,영업점
S00007863,C002714,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-04,2030-12-02,0,3263039,0.1,유지,모바일
S00003348,C001096,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-04,2030-12-02,0,1395719,0.1,유지,모바일
S00005631,C001909,예금,DEP006,하나은행 3·6·9 정기예금,2020-12-04,2021-06-02,6,100000000,3.6,연장,영업점
S00007293,C002492,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-04,2021-11-29,12,3309888,4.0,만기,영업점
S00005532,C001866,적금,SAV003,신한은행 청년 처음 적금,2020-12-04,2022-11-24,24,16386864,4.5,연장,인터넷
S00000812,C000284,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-04,2030-12-02,0,1455572,0.1,유지,모바일
S00007243,C002474,적금,SAV003,신한은행 청년 처음 적금,2020-12-04,2022-11-24,24,11842560,4.5,만기,인터넷
S00005418,C001822,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-04,2030-12-02,0,4168397,0.1,유지,모바일
S00005386,C001811,예금,DEP003,NH농협은행 NH올원 e예금,2020-12-05,2021-06-03,6,72276465,3.3,만기,인터넷
S00003865,C001273,예금,DEP006,하나은행 3·6·9 정기예금,2020-12-05,2021-06-03,6,100000000,3.6,만기,영업점
S00000394,C000134,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-05,2021-11-30,12,5040396,4.0,해지,영업점
S00003366,C001101,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-05,2021-11-30,12,100000000,3.1,연장,영업점
S00001593,C000547,예금,DEP004,우리은행 WON플러스 예금,2020-12-05,2021-11-30,12,100000000,3.4,해지,영업점
S00007742,C002667,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-05,2021-11-30,12,11813988,4.0,만기,영업점
S00001531,C000527,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-06,2021-12-01,12,100000000,3.1,만기,영업점
S00003126,C001014,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-06,2030-12-04,0,2512092,0.1,유지,모바일
S00003978,C001309,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-06,2022-11-26,24,11102784,4.2,연장,인터넷
S00004260,C001403,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-07,2022-11-27,24,7501200,5.0,연장,영업점
S00005199,C001739,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-07,2021-12-02,12,100000000,3.1,만기,영업점
S00007501,C002568,적금,SAV003,신한은행 청년 처음 적금,2020-12-07,2022-11-27,24,16125240,4.5,만기,인터넷
S00002176,C000722,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-07,2021-12-02,12,100000000,3.1,만기,영업점
S00002384,C000784,예금,DEP006,하나은행 3·6·9 정기예금,2020-12-07,2021-06-05,6,100000000,3.6,연장,영업점
S00004696,C001553,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-07,2022-11-27,24,13354440,4.2,만기,인터넷
S00006550,C002232,적금,SAV004,KB국민은행 KB 내맘대로 적금,2020-12-07,2021-12-02,12,6788412,3.5,만기,모바일
S00006664,C002270,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-07,2021-12-02,12,100000000,3.5,만기,영업점
S00005608,C001898,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-08,2022-11-28,24,21920568,5.0,해지,영업점
S00002123,C000708,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-08,2021-12-03,12,100000000,3.5,연장,영업점
S00005286,C001773,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-08,2021-12-03,12,10607040,4.0,연장,영업점
S00001262,C000441,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-09,2030-12-07,0,4718711,0.1,유지,모바일
S00004582,C001514,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-09,2021-12-04,12,9091344,4.0,만기,영업점
S00001432,C000499,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-09,2021-12-04,12,6665040,4.0,해지,영업점
S00008565,C002990,예금,DEP002,신한은행 쏠편한 정기예금,2020-12-09,2021-12-04,12,100000000,3.2,해지,인터넷
S00000120,C000042,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-09,2021-12-04,12,100000000,3.5,연장,영업점
S00001667,C000569,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-09,2021-12-04,12,100000000,3.1,연장,영업점
S00008292,C002881,예금,DEP004,우리은행 WON플러스 예금,2020-12-10,2021-12-05,12,100000000,3.4,만기,영업점
S00002723,C000887,예금,DEP006,하나은행 3·6·9 정기예금,2020-12-10,2021-06-08,6,100000000,3.6,만기,영업점
S00004691,C001551,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-10,2030-12-08,0,807264,0.1,유지,모바일
S00002738,C000891,적금,SAV004,KB국민은행 KB 내맘대로 적금,2020-12-10,2021-12-05,12,8458140,3.5,해지,모바일
S00007521,C002577,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-10,2022-11-30,24,6210504,4.2,만기,인터넷
S00001213,C000424,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-10,2030-12-08,0,1923967,0.1,유지,모바일
S00005377,C001807,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-11,2030-12-09,0,1102598,0.1,유지,모바일
S00007977,C002761,입출금,CHK002,KB국민은행 KB Star 입출금통장,2020-12-11,2030-12-09,0,991586,0.1,유지,영업점
S00005184,C001732,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-11,2021-12-06,12,100000000,3.1,만기,영업점
S00002916,C000946,예금,DEP002,신한은행 쏠편한 정기예금,2020-12-11,2021-12-06,12,100000000,3.2,만기,인터넷
S00002984,C000967,예금,DEP006,하나은행 3·6·9 정기예금,2020-12-11,2021-06-09,6,100000000,3.6,만기,영업점
S00006773,C002308,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-11,2021-12-06,12,3782892,4.0,만기,영업점
S00004643,C001536,입출금,CHK002,KB국민은행 KB Star 입출금통장,2020-12-12,2030-12-10,0,694488,0.1,유지,영업점
S00006218,C002115,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-12,2021-12-07,12,5542428,4.0,만기,영업점
S00003262,C001064,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-12,2030-12-10,0,2739850,0.1,유지,모바일
S00000170,C000059,적금,SAV003,신한은행 청년 처음 적금,2020-12-12,2022-12-02,24,9094296,4.5,연장,인터넷
S00000748,C000264,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-12,2030-12-10,0,2749234,0.1,유지,모바일
S00004055,C001334,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-13,2021-12-08,12,100000000,3.5,만기,영업점
S00004892,C001622,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-13,2022-12-03,24,5902584,5.0,만기,영업점
S00005451,C001836,적금,SAV004,KB국민은행 KB 내맘대로 적금,2020-12-13,2021-12-08,12,11869584,3.5,만기,모바일
